Geo Point;Geo Shape;gml_id;GID;GEOM_O;ADRESSE;TYPE;HANDI;CDATE;MDATE
44.86013890977366, -0.5828333216517303;"{""coordinates"": [-0.58283332165173, 44.86013890977366], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5995;5995;0;Rue Louis Gendreau;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:28:02+01:00;2023-01-20T17:28:02+01:00
44.83638969250121, -0.5727774090830721;"{""coordinates"": [-0.572777409083072, 44.83638969250121], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5999;5999;0;Place de la Ferme de Richemond;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:34:00+01:00;2023-01-20T17:34:00+01:00
44.87363892074147, -0.5459166607078882;"{""coordinates"": [-0.545916660707888, 44.87363892074147], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5997;5997;0;Square Jean Rebeyrol;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:30:34+01:00;2023-01-20T17:30:34+01:00
44.84155148592734, -0.5806054767920814;"{""coordinates"": [-0.580605476792081, 44.84155148592734], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5998;5998;0;Place Gambetta;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:32:14+01:00;2023-01-20T17:32:14+01:00
44.84275003108016, -0.5851388524189729;"{""coordinates"": [-0.585138852418973, 44.84275003108016], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5926;5926;0;Place des Martyrs de la Résistance;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
44.82719444525411, -0.5579722812196964;"{""coordinates"": [-0.557972281219696, 44.82719444525411], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5983;5983;0;4 rue St vincent de Paul;CHALET_DE_NECESSITE;NON;2023-01-20T17:04:28+01:00;2023-01-20T17:04:28+01:00
44.87386111475823, -0.5753610995215523;"{""coordinates"": [-0.575361099521552, 44.87386111475823], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5984;5984;0;Avenue Laroque;URINOIR;NON;2023-01-20T17:07:40+01:00;2023-01-20T17:07:40+01:00
44.82477658960604, -0.6122620597018886;"{""coordinates"": [-0.612262059701889, 44.82477658960604], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.114;114;0;Alfred Smith;URINOIR;NON;2019-05-06T02:00:00+02:00;2023-01-24T01:00:00+01:00
44.876980462511526, -0.5482281246031443;"{""coordinates"": [-0.548228124603144, 44.876980462511526], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.120;120;0;Place Philippe Lebon;URINOIR;NON;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.83077892157151, -0.5883809534847034;"{""coordinates"": [-0.588380953484703, 44.83077892157151], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.146;146;0;Place d'Arlac;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
